rank,artist,title,last_week,peek_position,weeks_on_chart
2,Soundtrack,Spider-Man: Into The Spider-Verse,3,2,5
3,21 Savage,I Am &gt; I Was,2,1,4
4,Post Malone,beerbongs &amp; bentleys,5,1,38
5,Meek Mill,Championships,4,1,7
6,Lady Gaga &amp; Bradley Cooper,A Star Is Born (Soundtrack),7,1,15
7,Travis Scott,ASTROWORLD,6,1,24
8,Drake,Scorpion,8,1,29
9,Soundtrack,The Greatest Showman,11,1,58
10,Kodak Black,Dying To Live,9,1,5
11,Bad Bunny,X 100PRE,12,11,4
12,Juice WRLD,Goodbye &amp; Good Riddance,13,4,35
13,Queen,Bohemian Rhapsody (Soundtrack),76,3,13
14,Billie Eilish,Dont Smile At Me,19,14,56
15,Lil Baby &amp; Gunna,Drip Harder,16,4,15
16,Cardi B,Invasion Of Privacy,14,1,41
17,Luke Combs,This One&#039;s For You,17,4,85
18,YoungBoy Never Broke Again,Realer,15,15,4
19,XXXTENTACION,?,20,1,44
20,Ariana Grande,Sweetener,18,1,22
21,Panic! At The Disco,Pray For The Wicked,26,1,30
22,Lil Baby,Street Gossip,21,2,7
23,Post Malone,Stoney,23,4,110
24,Original Broadway Cast Recording,Hamilton: An American Musical,30,3,173
25,Dan + Shay,Dan + Shay,29,6,30
26,Imagine Dragons,Origins,22,2,10
27,Lil Wayne,Tha Carter V,24,1,16
28,Khalid,Suncity,40,8,13
29,6ix9ine,DUMMY BOY,25,2,8
30,Ed Sheeran,÷ (Divide),28,1,98
31,Ella Mai,Ella Mai,32,5,14
32,Metro Boomin,Not All Heroes Wear Capes,34,1,11
33,Eminem,Kamikaze,37,1,20
34,Taylor Swift,reputation,27,1,62
35,Imagine Dragons,Evolve,31,2,82
36,Lauren Daigle,Look Up Child,36,3,19
37,XXXTENTACION,Skins,33,1,6
38,Carrie Underwood,Cry Pretty,126,1,18
39,Gucci Mane,Evil Genius,35,5,6
40,Ski Mask The Slump God,STOKELEY,38,6,7
41,Trippie Redd,A Love Letter To You 3,39,3,10
42,Khalid,American Teen,42,4,98
43,Queen,Greatest Hits,None,None,None
44,Bazzi,Cosmic,44,14,41
45,Benny Blanco,FRIENDS KEEP SECRETS (EP),41,41,6
46,XXXTENTACION,17,43,2,73
47,Nicki Minaj,Queen,46,2,23
48,Kane Brown,Experiment,47,1,10
49,Lil Uzi Vert,Luv Is Rage 2,62,1,73
50,Migos,Culture II,49,1,51
51,Future &amp; Juice WRLD,Future &amp; Juice WRLD Present... WRLD ON DRUGS,52,2,13
52,Kendrick Lamar,DAMN.,53,1,92
53,Lil Baby,Harder Than Ever,56,3,35
54,Chris Stapleton,Traveller,54,1,175
55,Camila Cabello,Camila,51,1,53
56,Tory Lanez,LoVE me NOw?,63,4,12
57,5 Seconds Of Summer,Youngblood,58,1,31
58,Mac Miller,Swimming,65,3,24
59,twenty one pilots,Trench,57,2,15
60,Shawn Mendes,Shawn Mendes,48,1,34
61,Comethazine,Bawskee 2,None,None,None
62,Sheck Wes,Mudboy,61,17,15
63,Eminem,Curtain Call: The Hits,66,1,428
64,Thomas Rhett,Life Changes,59,1,71
65,Bebe Rexha,Expectations,64,13,30
66,Maroon 5,Red Pill Blues,70,2,63
67,Drake,Take Care,73,1,307
68,Kane Brown,Kane Brown,67,5,111
69,NF,Perception,71,1,67
70,Drake,Views,75,1,142
71,Imagine Dragons,Night Visions,60,2,329
72,Soundtrack,Moana,81,2,113
73,H.E.R.,H.E.R.,74,47,65
74,Billy Joel,The Essential Billy Joel,85,15,126
75,The Weeknd,Starboy,94,1,112
76,Ed Sheeran,x,83,1,239
77,Elton John,Diamonds,68,23,62
78,Jason Aldean,Rearview Town,82,1,40
79,Soundtrack,Mary Poppins Returns,45,34,6
80,BTS,Love Yourself: Answer,78,1,21
81,Trippie Redd,Life&#039;s A Trip,86,4,23
82,Journey,Journey&#039;s Greatest Hits,50,10,547
83,Drake,More Life,91,1,96
84,J. Cole,KOD,80,1,39
85,Michael Jackson,The Essential Michael Jackson,98,31,260
86,Kevin Gates,Luca Brasi 3,84,4,16
87,YoungBoy Never Broke Again,Until Death Call My Name,95,7,38
88,SZA,Ctrl,87,3,84
89,Quavo,Quavo Huncho,89,2,15
90,Taylor Swift,1989,79,1,214
91,Halsey,hopeless fountain kingdom,93,1,85
92,Soundtrack,"Black Panther: The Album, Music From And Inspired By",90,1,49
93,The Chainsmokers,Sick Boy,102,53,17
94,Mumford &amp; Sons,Delta,106,1,9
95,Bob Marley And The Wailers,Legend: The Best Of...,72,5,557
96,Fleetwood Mac,Rumours,69,1,305
97,Creedence Clearwater Revival Featuring John Fogerty,Chronicle The 20 Greatest Hits,104,22,402
98,Lil Mosey,Northsbest,108,29,13
99,Dua Lipa,Dua Lipa,92,27,81
100,Bruno Mars,24K Magic,100,2,113
101,Lil Skies,Life Of A Dark Rose,109,10,54
102,Roddy Ricch,Feed The Streets II,123,68,9
103,Ozuna,Aura,107,7,21
104,Mitchell Tenpenny,Telling All My Secrets,88,53,5
105,P!nk,Beautiful Trauma,None,None,None
106,J. Cole,2014 Forest Hills Drive,111,1,215
107,6LACK,East Atlanta Love Letter,103,3,18
108,Blueface,Famous Cryp,162,108,2
109,The Weeknd,Beauty Behind The Madness,118,1,176
110,2Pac,Greatest Hits,96,3,255
111,Brett Young,Brett Young,99,18,101
112,Sam Smith,In The Lonely Hour,128,2,238
113,YoungBoy Never Broke Again,4Respect 4Freedom 4Loyalty 4WhatImportant,113,14,18
114,Travis Scott,Birds In The Trap Sing McKnight,116,1,124
115,Tom Petty And The Heartbreakers,Greatest Hits,77,2,302
116,Chris Brown,Heartbreak On A Full Moon,110,3,63
117,Daniel Caesar,Freudian,115,25,69
118,Rihanna,ANTI,119,1,155
119,Michael Jackson,Thriller,133,1,350
120,twenty one pilots,Blurryface,114,1,192
121,Lil Durk,Signed To The Streets 3,122,17,9
122,Playboi Carti,Die Lit,132,3,32
123,Joji,BALLADS 1,137,3,11
124,Ariana Grande,Dangerous Woman,120,2,132
125,Panic! At The Disco,Death Of A Bachelor,127,1,157
126,Kendrick Lamar,"good kid, m.A.A.d city",131,2,325
127,Alec Benjamin,Narrated For You,None,None,None
128,Adele,21,125,1,398
129,Guns N&#039; Roses,Greatest Hits,121,3,453
130,Soundtrack,"13 Reasons Why, Season 2",136,26,33
131,Drake,Nothing Was The Same,149,1,268
132,Disturbed,Evolution,199,4,10
133,Soundtrack,Frozen,145,1,119
134,Eagles,Their Greatest Hits 1971-1975,101,1,257
135,Randy Houser,Magnolia,None,None,None
136,Adele,25,134,1,160
137,Lil Peep,"Come Over When You&#039;re Sober, Part 2",129,4,10
138,Soundtrack,Trolls,139,3,116
139,George Strait,50 Number Ones,None,None,None
140,Gunna,Drip Season 3,153,55,46
141,Bob Seger &amp; The Silver Bullet Band,Greatest Hits,97,8,260
142,Ozuna,Odisea,152,22,71
143,The Beatles,The Beatles [White Album],117,1,194
144,The Notorious B.I.G.,Greatest Hits,141,1,158
145,Frank Ocean,Blonde,167,1,112
146,Lana Del Rey,Born To Die,None,None,None
147,Kodak Black,Project Baby Two,148,2,73
148,Bryson Tiller,T R A P S O U L,157,8,169
149,G-Eazy,The Beautiful &amp; Damned,150,3,53
150,Greta Van Fleet,Anthem Of The Peaceful Army,183,3,13
151,Bruno Mars,Doo-Wops &amp; Hooligans,147,3,405
152,Shawn Mendes,Illuminate,146,1,114
153,The Rolling Stones,Hot Rocks 1964-1971,160,4,292
154,Brett Young,Ticket To L.A.,130,15,6
155,The Beatles,Abbey Road,138,1,292
156,Red Hot Chili Peppers,Greatest Hits,105,18,196
